ERSS Medical Keywords,Information Type,Annot Label,ERSS Table,CUI,Concept Name,Concept Type,Concept Dictionary,Attribute,Notes
apnea,condition,,Other Medical Evidence,C0003578,Apnea,umls.SignOrSymptom,UMLS 2020AA,PCDiagnosis,
carbon dioxide retention,condition,,Schedular Evidence,C0020440,Carbon Retention,umls.DiseaseOrSyndrome,Sleep Apnea Concepts,PCDiagnosis,
cor pulmonale,condition,,Schedular Evidence,C0238074,Chronic pulmonary heart disease,umls.DiseaseOrSyndrome,UMLS 2020AA,PCDiagnosis,
hypersomnolence,condition,,Schedular Evidence,C0751229,Hypersomnolence,umls.DiseaseOrSyndrome,Sleep Apnea Concepts,PCDiagnosis,
obstuctive sleep apnea,condition,,Other Medical Evidence,C0520679,Obstructive Sleep Apnea,umls.DiseaseOrSyndrome,Sleep Apnea Concepts,PCDiagnosis,
OSA,condition,,Other Medical Evidence,C0520679,Obstructive Sleep Apnea,umls.DiseaseOrSyndrome,Sleep Apnea Concepts,PCDiagnosis,
respiratory failure,condition,,Schedular Evidence,C1145670,Respiratory Failure,umls.DiseaseOrSyndrome,UMLS 2020AA,PCDiagnosis,
sleep apnea,condition,,Other Medical Evidence,C0037315,Sleep Apnea Syndromes,umls.DiseaseOrSyndrome,UMLS 2020AA,PCDiagnosis,
snore,condition,,Other Medical Evidence,C0037384,Snoring,umls.SignOrSymptom,UMLS 2020AA,PCDiagnosis,
snoring,condition,,Other Medical Evidence,C0037384,Snoring,umls.SignOrSymptom,UMLS 2020AA,PCDiagnosis,
AHI,procedure,,Other Medical Evidence,SAC-00009,AHI,umls.DiagnosticProcedure,Sleep Apnea Concepts,DiagnosticProcedure,
APAP,procedure,,Schedular Evidence,SAC-00011,Automatic Positive Airway Pressure,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,TherapeuticProcedure,
apnea-hypopnea index,procedure,,Other Medical Evidence,SAC-00009,AHI,umls.DiagnosticProcedure,Sleep Apnea Concepts,DiagnosticProcedure,
BiPAP,procedure,,Schedular Evidence,C1611149,Biphasic Positive Airway Pressure,umls.TherapeuticOrPreventiveProcedure,UMLS 2020AA,TherapeuticProcedure,
BPAP,procedure,,Schedular Evidence,C1611149,Biphasic Positive Airway Pressure,umls.TherapeuticOrPreventiveProcedure,UMLS 2020AA,TherapeuticProcedure,
breathing assistance device,procedure,,Schedular Evidence,SAC-00005,Breathing Assistance Device,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
continuous airway pressure,procedure,,Schedular Evidence,SAC-00016,Continuous Airway Pressure,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,TherapeuticProcedure,
CPAP,procedure,,Schedular Evidence,C0199451,Continuous Positive Airway Pressure,umls.TherapeuticOrPreventiveProcedure,UMLS 2020AA,TherapeuticProcedure,
EPAP,procedure,,Schedular Evidence,SAC-00018,EPAP,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,TherapeuticProcedure,
Hypoglossal nerve stimulation,procedure,,Schedular Evidence,SAC-00002,Hypoglossal Nerve Stimulation,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
Hypoglossal nerve stimulator,procedure,,Schedular Evidence,SAC-00003,Hypoglossal Nerve Stimulator,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
implanted genioglossal nerve stimulation device,procedure,,Schedular Evidence,SAC-00004,Genioglossal Nerve Stimulator,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
IPAP,procedure,,Schedular Evidence,SAC-00017,IPAP,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,TherapeuticProcedure,
